학교명,학교급구분,소재지도로명주소,위도,경도,Region_Name
광신중학교,중학교,서울특별시 관악구 광신길 141 . 광신중학교 (신림동),37.46514106,126.9250905,관악구
숙명여자중학교,중학교,서울특별시 강남구 남부순환로 2807 . 숙명여자중학교(도곡동),37.49105985,127.05167,강남구
잠실중학교,중학교,서울특별시 송파구 올림픽로35길 130 (신천동),37.51733281,127.0993332,송파구
서운중학교,중학교,서울특별시 서초구 서운로 115 (서초동.서운중학교),37.49375946,127.0247303,서초구
홍익대학교사범대학부속여자중학교,중학교,서울특별시 마포구 성미산로 51 . 홍익대학교사범대학부속여자중학교 (성산동),37.56013585,126.9136761,마포구
정화여자중학교,중학교,서울특별시 동대문구 홍릉로15길 50 (제기동),37.58570641,127.0410078,동대문구
신도림중학교,중학교,서울특별시 구로구 경인로63길 74 . 신도림중학교 (신도림동),37.5104579,126.8854304,구로구
휘경여자중학교,중학교,서울특별시 동대문구 한천로 247 휘경여자중학교,37.58238274,127.0675665,동대문구
봉원중학교,중학교,서울특별시 관악구 관악로24가길 15 . 봉원중학교 (봉천동.봉원중학교),37.48424624,126.958231,관악구
문일중학교,중학교,서울특별시 금천구 시흥대로47길 45 . 문일중학교 (시흥동),37.45003576,126.8990257,금천구
신림중학교,중학교,서울특별시 관악구 신림로 40 (신림동.신림중학교),37.47048647,126.9448925,관악구
동국대학교사범대학부속중학교,중학교,서울특별시 동대문구 장안벚꽃로 201 (장안동),37.57794872,127.0751705,동대문구
전동중학교,중학교,서울특별시 동대문구 장안벚꽃로 291 (휘경동.전동중학교),37.58536429,127.0711298,동대문구
신구중학교,중학교,서울특별시 강남구 압구정로36길 17 (신사동.신구중학교),37.52700477,127.0322082,강남구
무학중학교,중학교,서울특별시 성동구 행당로 120 (행당동),37.5577138,127.0322073,성동구
등촌중학교,중학교,서울특별시 강서구 공항대로 484-12 (등촌동.등촌중학교),37.5519498,126.8597979,강서구
봉화중학교,중학교,서울특별시 중랑구 망우로70길 89 (망우동.봉화중학교),37.59649005,127.1039153,중랑구
관악중학교,중학교,서울특별시 관악구 남부순환로237길 60 . 관악중학교 (봉천동),37.48043661,126.9618525,관악구
상원중학교,중학교,서울특별시 노원구 수락산로 182 (상계동),37.67154355,127.0595044,노원구
우신중학교,중학교,서울특별시 구로구 부일로 917 . 우신중학교 (궁동),37.49596744,126.8267178,구로구
전농중학교,중학교,서울특별시 동대문구 사가정로13길 71 (전농동.전농중학교),37.58126561,127.0597057,동대문구
난우중학교,중학교,서울특별시 관악구 난곡로16길 32 . 난우중학교 (신림동),37.46671212,126.9227951,관악구
방원중학교,중학교,서울특별시 강서구 금낭화로 268 . 방원중학교 (방화동.방원중학교),37.57577439,126.8088127,강서구
상계중학교,중학교,서울특별시 노원구 노원로 398 (상계동. 상계중학교),37.65202094,127.0688583,노원구
문현중학교,중학교,서울특별시 송파구 충민로 99 (장지동. 문현중학교),37.4804857,127.1277763,송파구
염창중학교,중학교,서울특별시 강서구 양천로67가길 83 (염창동.염창중학교),37.55361042,126.8719674,강서구
오금중학교,중학교,서울특별시 송파구 오금로35길 20 (오금동.오금중학교),37.50495636,127.1284373,송파구
거원중학교,중학교,서울특별시 송파구 양산로2길 30 (거여동.거원중학교),37.48769975,127.1462266,송파구
이화여자대학교사범대학부속이화·금란중학교,중학교,서울특별시 서대문구 성산로 520 (대신동),37.56264282,126.9442141,서대문구
송정중학교,중학교,서울특별시 강서구 남부순환로 121 (공항동.송정중학교),37.55373155,126.8153475,강서구
덕원중학교,중학교,서울특별시 강서구 강서로45길 91-44 (내발산동),37.54982514,126.8294725,강서구
방학중학교,중학교,서울특별시 도봉구 시루봉로 188 . 방학중학교 (방학동),37.66546957,127.0317439,도봉구
종암중학교,중학교,서울특별시 성북구 종암로5길 80-17 (종암동.종암중학교),37.59296625,127.0323728,성북구
장안중학교,중학교,서울특별시 중랑구 동일로 780 . 장안중학교 (중화동),37.60047297,127.0807253,중랑구
신천중학교,중학교,서울특별시 송파구 백제고분로 11 (잠실동. 신천중학교),37.51601726,127.0784453,송파구
경희여자중학교,중학교,서울특별시 동대문구 경희대로 26 (회기동),37.59448582,127.0510296,동대문구
